id,DBN,SchoolName,AP Test Takers ,Total Exams Taken,Number of Exams with scores 3 4 or 5
0,01M448,UNIVERSITY NEIGHBORHOOD H.S.,39,49,10
1,01M450,EAST SIDE COMMUNITY HS,19,21,s
2,01M515,LOWER EASTSIDE PREP,24,26,24
3,01M539,"NEW EXPLORATIONS SCI,TECH,MATH",255,377,191
4,02M296,High School of Hospitality Management,s,s,s
5,02M298,Pace High School,21,21,s
6,02M300,"Urban Assembly School of Design and Construction,",99,117,10
7,02M303,"Facing History School, The",42,44,s
8,02M305,"Urban Assembly Academy of Government and Law, The",25,37,15
9,02M308,Lower Manhattan Arts Academy,s,s,s
10,02M400,HS FOR ENVIRONMENTAL STUDIES,213,298,152
11,02M408,PROFESSIONAL PERFORMING ARTS,20,20,15
12,02M411,BARUCH COLLEGE CAMPUS HS,78,115,88
13,02M412,NYC LAB HS FOR COLL. STUDIES,114,140,97
14,02M413,SCHOOL OF THE FUTURE,11,11,s
15,02M414,NYC MUSEUM SCHOOL,s,s,s
16,02M416,Eleanor Roosevelt High School,155,235,169
17,02M418,Millennium High School,86,95,67
18,02M420,HEALTH PROF & HUMAN SVCS,204,248,75
19,02M425,H S FOR LEADERSHIP & PUBLIC,70,84,32
20,02M429,LEGACY SCHOOL,22,26,s
21,02M439,MANHATTAN VILLAGE ACADEMY HS,42,69,29
22,02M440,HS FOR HUMANITIES,6,6,s
23,02M459,CES-MANHATTAN INTERNATIONAL,12,12,6
24,02M460,WASHINGTON IRVING HS,69,83,21
25,02M475,STUYVESANT HS,1510,2819,2648
26,02M489,HS OF ECONOMICS & FINANCE,101,176,78
27,02M519,TALENT UNLIMITED,30,34,21
28,02M520,MURRY BERGTRAUM H.S.,118,157,76
29,02M529,JACQUELINE K. ONASSIS HS,80,118,29
30,02M542,Manhattan Bridges High School,67,102,59
31,02M545,High School for Dual Language and Asian Studies,61,96,89
32,02M551,HARBOR HIGH SCHOOL,7,7,s
33,02M575,MANHATTAN COMP.NIGHT H.S.,58,100,61
34,02M580,R.R.GREEN HS OF TEACHING,67,117,40
35,02M600,HS FOR FASHION INDUSTRIES,70,87,26
36,02M615,CHELSEA VHS,52,97,13
37,02M620,NORMAN THOMAS H.S.,34,34,14
38,02M625,HS COMMUNICATION GRAPHIC ART,79,85,9
39,02M630,HS OF ART AND DESIGN,84,100,33
40,02M655,LIFE SCIENCES SECONDARY SCHL,50,90,10
41,03M415,WADLEIGH ARTS HIGH SCHOOL,65,73,s
42,03M470,LOUIS D. BRANDEIS HS,48,70,6
43,03M479,BEACON SCHOOL,166,197,140
44,03M485,FIORELLO H.LAGUARDIA HS,691,1236,790
45,03M494,"MLK, JR HS FOR ARTS & TECH",38,38,6
46,03M860,FREDERICK DOUGLASS ACADEMY II,11,11,s
47,04M409,COALITION SCHL FOR SOCIAL CHG,18,18,s
48,04M435,MANHATTAN CENTER-SCIENCE&MATH,328,426,261
49,04M495,PARK EAST H.S.,s,s,s
50,04M555,CENTRAL PARK EAST H.S.,s,s,s
51,04M610,THE YOUNG WOMEN'S LEADERSHIP SCHOOL OF EAST HARLEM,41,55,29
52,04M610,YOUNG WOMEN'S LEADERSHIP SCH,s,s,s
53,05M304,Mott Hall High School,11,11,s
54,05M367,Academy for Social Action: A College Board School,17,17,s
55,05M469,CHOIR ACADEMY OF HARLEM,6,6,s
56,05M499,FREDRICK DOUGLAS SEC. SCHOOL,163,226,159
57,05M670,THURGOOD MARSHALL ACADEMY,37,38,s
58,05M692,HIGH SCHOOL FOR MATH SCIENCE ENGINEERING @ CCNY,114,124,71
59,06M462,H.S. INT'L BUSINESS & FINANCE,108,135,43
60,06M463,H.S. MEDIA & COMMUNICATIONS,37,64,s
61,06M467,H.S. LAW & PUBLIC SERVICE,141,212,82
62,06M468,H.S. HEALTH CAREERS & SCIENCE,32,38,17
63,06M540,A PHILIP RANDOLPH CAMPUS,165,222,72
64,06M552,GREGORIO LUPERON HS SCI & MATH,88,138,73
65,07X221,South Bronx Preparatory: A College Board School,63,89,24
66,07X500,LINCOLN ACADEMY/ HOSTOS,64,107,39
67,07X520,FOREIGN LANG ACAD/GLOBAL STUD,13,13,12
68,07X527,Bronx Leadership Academy II High School,30,30,s
69,07X547,New Explorers High School,18,18,s
70,07X548,Urban Assembly School for Careers in Sports,s,s,s
71,07X551,Bronx Academy of Letters,53,92,37
72,07X600,ALFRED E. SMITH VHS,11,11,s
73,07X655,SAMUEL GOMPERS VHS,77,126,s
74,07X670,HEALTH OPPORTUNITIES PROGRAM,61,117,29
75,08X282,Women's Academy of Excellence,21,22,s
76,08X293,Renaissance High School for Musical Theater & Tech,22,29,14
77,08X295,Gateway School for Environmental Research and Tech,s,s,s
78,08X305,Pablo Neruda Academy for Architecture and World St,s,s,s
79,08X312,Millennium Art Academy,35,55,s
80,08X332,Holcombe L. Rucker School of Community Research,20,28,s
81,08X405,HERBERT LEHMAN HS,430,532,197
82,08X540,School for Community Research and Learning,9,9,s
83,08X650,JANE ADDAMS VHS,44,69,8
84,09X231,Eagle Academy for Young Men,32,44,11
85,09X239,Urban Assembly Academy for History and Citizenship,9,9,s
86,11X455,HARRY S TRUMAN HS,103,135,27
87,09X241,Urban Assembly School for Applied Math and Science,16,16,s
88,09X250,Eximius College Preparatory Academy: A College Boa,90,146,11
89,09X260,Bronx Center for Science and Mathematics,62,80,35
90,09X263,Validus Preparatory Academy: An Expeditionary Lear,7,7,s
91,09X276,Leadership Institute,17,17,7
92,09X329,DreamYard Preparatory School,15,15,s
93,09X365,Academy for Language and Technology,20,20,20
94,09X412,BRONX HIGH SCHOOL OF BUSINESS,26,31,9
95,09X414,J. LEVIN HS FOR MEDIA & COMM.,18,18,s
96,09X505,"BRONX SCH FOR LAW, GOVT, JUST",45,55,27
97,09X517,FREDERICK DOUGLASS ACADEMY III,26,36,s
98,09X525,BRONX LEADERSHIP ACADEMY HS,40,42,8
99,10X141,MS/HS 141 D A STEIN RIV/KINGSB,133,184,119
100,10X213,Bronx Engineering and Technology Academy,107,228,10
101,10X225,Theatre Arts Production Company School,17,27,s
102,10X237,"The Marie Curie School for Medicine, Nursing, and",15,15,s
103,10X243,West Bronx Academy for the Future,25,29,14
104,10X268,Kingsbridge International High School,32,37,s
105,10X284,Bronx School of Law and Finance,21,27,s
106,10X342,International School for Liberal Arts,55,73,45
107,10X368,MS/HS 368 INFO & NETWORK TECH,40,54,17
108,10X433,HS FOR TEACHING & PROFESSIONS,62,83,13
109,10X434,BELMONT PREPARATORY HIGH SCHL,31,45,10
110,10X437,FORDHAM HS FOR THE ARTS,s,s,s
111,10X438,FORDHAM LDRSHP ACAD BUS & TECH,42,47,12
112,10X439,BRONX HS OF LAW & COMM SERVICE,44,65,9
113,10X440,DEWITT CLINTON HS,366,540,262
114,10X442,"Celia Cruz Bronx High School of Music, The",31,35,8
115,10X445,BRONX HS OF SCIENCE,1190,2435,2189
116,10X475,JOHN F KENNEDY HS,46,48,19
117,10X477,MARBLE HILL HS FOR INT STUDIES,83,141,37
118,10X546,Bronx Theatre High School,34,34,s
119,10X549,Discovery High School,s,s,s
120,10X696,HIGH SCHOOL OF AMERICAN STUDIES At Lehman College,194,302,243
121,11X249,Bronx Health Sciences High School,s,s,s
122,11X253,Bronx High School for Writing and Communication Ar,28,30,s
123,11X270,Academy for Scholarship and Entrepreneurship: A Co,24,24,s
124,11X275,High School of Computers and Technology,s,s,s
125,11X288,Collegiate Institute for Math and Science,79,111,33
126,11X299,Astor Collegiate Academy,36,48,12
127,11X415,CHRISTOPHER COLUMBUS HS,34,34,6
128,11X418,BRONX HS FOR THE VISUAL ARTS,26,41,9
129,11X513,New World High School,12,12,s
130,11X542,Pelham Preparatory Academy,46,57,17
131,12X248,"Metropolitan High School, The",25,25,s
132,12X267,Bronx Latin,s,s,s
133,12X271,East Bronx Academy for the Future,32,37,s
134,12X278,Peace and Diversity Academy,8,8,s
135,12X682,FANNIE LOU HAMER FREEDOM HS,s,s,s
136,12X684,WINGS ACADEMY,20,27,s
137,12X690,MONROE ACADEMY - BUSINESS/LAW,7,7,s
138,13K265,Dr Susan S McKinney Secondary School of the Arts,17,22,s
139,13K412,"Brooklyn Community High School of Communication, A",21,21,s
140,13K419,SCIENCE SKILLS CENTER,52,59,s
141,13K430,BROOKLYN TECHNICAL HS,2117,3692,2687
142,13K483,"Urban Assembly School for Law and Justice, The",31,57,24
143,13K499,ACORN COMMUNITY HIGH SCHOOL,64,95,s
144,13K509,FREEDOM ACADEMY H.S.,74,89,s
145,13K595,Bedford Academy High School,43,57,16
146,13K605,GEORGE WESTINGHOUSE,35,35,s
147,13K670,BENJAMIN BANNEKER ACADEMY,132,149,62
148,14K071,JHS 071 JUAN MOREL CAMPOS,16,16,12
149,14K322,Foundations Academy,42,53,s
150,14K474,PROGRESS HIGH SCHOOL,50,66,s
151,14K477,HIGH SCHOOL OF LEGAL STUDIES,24,27,s
152,14K478,HS OF ENTERPRISE AND TECH,94,129,19
