id,DBN,SchoolName,AP Test Takers ,Total Exams Taken,Number of Exams with scores 3 4 or 5
78,ddUddd,Ullll Ulllll Ullllll lll Ulllllllllll lll Ullll Ul,l,l,l
79,ddUddd,Ulllllllll Ull Ullllll,dd,dd,l
80,ddUddd,Ulllllll U. Ulllll Ulllll ll Ullllllll Ulllllll,dd,dd,l
81,ddUddd,UUUUUUU UUUUUU UU,ddd,ddd,ddd
82,ddUddd,Ulllll lll Ullllllll Ulllllll lll Ulllllll,d,d,l
83,ddUddd,UUUU UUUUUU UUU,dd,dd,d
84,ddUddd,Ullll Ullllll lll Ullll Ull,dd,dd,dd
85,ddUddd,Ullll Ulllllll Ullllll lll Ullllll lll Ullllllllll,d,d,l
86,ddUddd,UUUUU U UUUUUU UU,ddd,ddd,dd
87,ddUddd,Ullll Ulllllll Ulllll lll Ullllll Ulll lll Ullllll,dd,dd,l
88,ddUddd,Ullllll Ullllll Ullllllllll Ullllll: U Ullllll Ull,dd,ddd,dd
89,ddUddd,Ullll Ulllll lll Ullllll lll Ullllllllll,dd,dd,dd
90,ddUddd,Ullllll Ullllllllll Ullllll: Ul Ullllllllllll Ulll,d,d,l
91,ddUddd,Ulllllllll Ullllllll,dd,dd,d
92,ddUddd,UllllUlll Ullllllllll Ulllll,dd,dd,l
93,ddUddd,Ullllll lll Ulllllll lll Ulllllllll,dd,dd,dd
94,ddUddd,UUUUU UUUU UUUUUU UU UUUUUUUU,dd,dd,d
95,ddUddd,U. UUUUU UU UUU UUUUU & UUUU.,dd,dd,l
96,ddUddd,"UUUUU UUU UUU UUU, UUUU, UUUU",dd,dd,dd
97,ddUddd,UUUUUUUUU UUUUUUUU UUUUUUU UUU,dd,dd,l
98,ddUddd,UUUUU UUUUUUUUUU UUUUUUU UU,dd,dd,d
99,ddUddd,UU/UU ddd U U UUUUU UUU/UUUUUU,ddd,ddd,ddd
100,ddUddd,Ullll Ullllllllll lll Ulllllllll Ullllll,ddd,ddd,dd
101,ddUddd,Ullllll Ulll Ulllllllll Ullllll Ulllll,dd,dd,l
102,ddUddd,"Ull Ullll Ullll Ulllll lll Ulllllll, Ullllll, lll",dd,dd,l
103,ddUddd,Ulll Ullll Ullllll lll lll Ulllll,dd,dd,dd
104,ddUddd,Ullllllllll Ullllllllllll Ulll Ulllll,dd,dd,l
