id,DBN,SchoolName,AP Test Takers ,Total Exams Taken,Number of Exams with scores 3 4 or 5
99,ddsddd,ssSssdddssssssssssSssssss,ddd,ddd,ddd
100,ddsddd,ssssssssssssssssssssssssssssssssssss,ddd,ddd,dd
101,ddsddd,ssssssssssssssssssssssssssssssssss,dd,dd,s
102,ddsddd,ssssssssssssssssssssssssssssssSsssssssSsss,dd,dd,s
103,ddsddd,ssssssssssssssssssssssssssss,dd,dd,dd
104,ddsddd,ssssssssssssssssssssssssssssssssss,dd,dd,s
105,ddsddd,ssssssssssssssssssssssssss,dd,dd,s
106,ddsddd,sssssssssssssssssssssssssssssssss,dd,dd,dd
107,ddsddd,ssSssdddssssSsssssssssss,dd,dd,dd
108,ddsddd,sssssssssssssSsssssssssss,dd,dd,dd
109,ddsddd,ssssssssssssssssssssssssss,dd,dd,dd
110,ddsddd,sssssssssssssssssss,s,s,s
111,ddsddd,ssssssssssssssssssssSssss,dd,dd,dd
112,ddsddd,ssssssssssssSsssssssssss,dd,dd,d
113,ddsddd,sssssssssssssss,ddd,ddd,ddd
114,ddsddd,sssssssssssssssssssssssssssssssSsss,dd,dd,d
115,ddsddd,ssssssssssssssss,dddd,dddd,dddd
116,ddsddd,ssssssssssssss,dd,dd,dd
117,ddsddd,sssssssssssssssssssssssss,dd,ddd,dd
118,ddsddd,ssssssssssssssssssssss,dd,dd,s
119,ddsddd,sssssssssssssssssss,s,s,s
120,ddsddd,ssssssssssssssssssssssssssssssssssssssssss,ddd,ddd,ddd
121,ddsddd,sssssssssssssssssssssssssssss,s,s,s
122,ddsddd,sssssssssssssssssssssssssssssssssssssssssss,dd,dd,s
123,ddsddd,ssssssssssssssssssssssssssssssssssssssssSsss,dd,dd,s
124,ddsddd,ssssssssssssssssssssssssssssssssss,s,s,s
125,ddsddd,ssssssssssssssssssssssssssssssssssss,dd,ddd,dd
126,ddsddd,ssssssssssssssssssssss,dd,dd,dd
127,ddsddd,sssssssssssssssssssss,dd,dd,d
128,ddsddd,sssssssssssssssssssssss,dd,dd,d
129,ddsddd,ssssssssssssssssss,dd,dd,s
130,ddsddd,ssssssssssssssssssssssss,dd,dd,dd
131,ddsddd,ssssssssssssssssssssssSsss,dd,dd,s
132,ddsddd,ssssssssss,s,s,s
133,ddsddd,ssssssssssssssssssssssssssss,dd,dd,s
134,ddsddd,ssssssssssssssssssssssss,d,d,s
135,ddsddd,sssssssssssssssssssssss,s,s,s
136,ddsddd,ssssssssssss,dd,dd,s
137,ddsddd,sssssssssssssSssssssssSsss,d,d,s
138,ddsddd,ssssssssssssssssssssssssssssssssssssssss,dd,dd,s
139,ddsddd,ssssssssssssssssssssssssssssssssssssssssssSs,dd,dd,s
140,ddsddd,sssssssssssssssssss,dd,dd,s
141,ddsddd,sssssssssssssssssss,dddd,dddd,dddd
142,ddsddd,sssssssssssssssssssssssssssssssssssSsss,dd,dd,dd
143,ddsddd,ssssssssssssssssssssssss,dd,dd,s
144,ddsddd,sssssssssssssssSsS,dd,dd,s
145,ddsddd,ssssssssssssssssssssssss,dd,dd,dd
146,ddsddd,ssssssssssssssssss,dd,dd,s
147,ddsddd,sssssssssssssssssssssss,ddd,ddd,dd
148,ddsddd,sssdddsssssssssssssss,dd,dd,dd
149,ddsddd,ssssssssssssssssss,dd,dd,s
150,ddsddd,ssssssssssssssssss,dd,dd,s
151,ddsddd,ssssssssssssssssssssssss,dd,dd,s
152,ddsddd,sssssssssssssssssssss,dd,ddd,dd
153,ddsddd,sssssssssssssssssssssssssssss,dd,dd,d
154,ddsddd,ssssssssssssssssssssssssssssssssssssssssssss,dd,dd,s
155,ddsddd,sssssssssssssssssssssssssssss,dd,dd,s
156,ddsddd,sssssssssssssss,s,s,s
157,ddsddd,ssssssssssssssssssssssssssss,dd,dd,s
158,ddsddd,ssssssssssssssssssSsssssss,dd,dd,s
159,ddsddd,sssssssssssssssssssssssss,dd,dd,s
160,ddsddd,ssssssssssssssssSsssssss,dd,dd,s
161,ddsddd,sssssssssSsSssssssssss,s,s,s
162,ddsddd,ssssssssssssss,dd,dd,s
163,ddsddd,sssssssssssssssssssssssssssssss,dd,dd,s
164,ddsddd,ssssssssssssssssssssssssssssssssssssssssssss,dd,dd,d
165,ddsddd,ssssssssssssssssssssssssssssssSsss,dd,dd,s
166,ddsddd,sssssssssssssssssssssssssssssssssssssssssss,dd,dd,s
167,ddsddd,ssssssssssssssssssssssssssSsssssssssssssss,ddd,ddd,dd
168,ddsddd,sssssssssssssssssssssssssssssssssssssssss,dd,dd,s
169,ddsddd,ssssssssssssssssssssssSsssssss,dd,dd,d
170,ddsddd,ssssssssssssSsssssssssss,ddd,ddd,dd
171,ddsddd,ssssssssssssss,ddd,ddd,dd
172,ddsddd,sssssssssssss,dd,dd,s
173,ddsddd,sssssssSssssssss,s,s,s
174,ddsddd,ssssssssss,dd,dd,s
175,ddsddd,ssssssssssssssssssssssss,s,s,s
176,ddsddd,sssssssssssssssssssssss,dd,dd,s
177,ddsddd,ssssssssssssssssssssssss,dd,dd,s
178,ddsddd,sssssssssssssssssssssssssssssssssssss,s,s,s
179,ddsddd,sssssssssssssssssssssssssssssssssssssssssss,dd,dd,s
180,ddsddd,sssssssssssssssssssssss,dd,dd,dd
181,ddsddd,sssSsssssssssssss,ddd,ddd,dd
182,ddsddd,sssssssssssssssssssssssssssssssssssssss,dd,dd,dd
183,ddsddd,sssssssssssss,dd,dd,s
184,ddsddd,ssssssssssss,ddd,ddd,dd
185,ddsddd,ssssssssssssssssssssss,ddd,ddd,ddd
186,ddsddd,ssssssssssssss,ddd,ddd,ddd
187,ddsddd,sSsSsssssssssss,ddd,ddd,ddd
188,ddsddd,sssssssssssssssssssssssssssssssssssssss,dd,dd,s
189,ddsddd,ssssssssssssssssssssssssssss,dd,dd,s
190,ddsddd,sssssssssss,s,s,s
191,ddsddd,ssssssssssssssss,ddd,ddd,dd
192,ddsddd,sssssssssssssss,ddd,ddd,ddd
193,ddsddd,ssssssssssSsS,ddd,ddd,ddd
194,ddsddd,ssssssssssssssssssss,dd,dd,dd
195,ddsddd,sssssssss,ddd,dddd,ddd
196,ddsddd,ssssssssssssss,ddd,ddd,ddd
197,ddsddd,sssssssssssssss,dd,dd,dd
198,ddsddd,sssssssssssssssssssssss,ddd,ddd,ddd
199,ddsddd,ssssssssssssssssssSsssssssssssssssssss,dd,dd,s
200,ddsddd,sssssssssssssssssssssssssssssssssssss,dd,dd,s
201,ddsddd,sssssssssssssssssssssssss,dd,dd,s
202,ddsddd,sssssssssssssssssssssssssssss,dd,ddd,dd
203,ddsddd,ssssssssssssssssssssssssssssssss,dd,dd,s
204,ddsddd,sssssssss,ddd,ddd,ddd
205,ddsddd,sssssssssssssssss,ddd,ddd,ddd
206,ddsddd,sssssssssssssssssSssssssss,ddd,ddd,dd
207,ddsddd,sssssssss,dd,dd,dd
208,ddsddd,ssssssssssssssSssssssssssSsS,ddd,ddd,dd
209,ddsddd,ssssssssssssssssssssssssssSsssssssssssssssss,dd,dd,dd
210,ddsddd,sssssssssss,ddd,ddd,ddd
211,ddsddd,ssssssssss,ddd,ddd,ddd
212,ddsddd,ssssssssssssssss,ddd,ddd,ddd
213,ddsddd,ssssssssssssssssssssssss,dd,ddd,dd
214,ddsddd,sssssssssSsssssss,ddd,dddd,ddd
215,ddsddd,ssssssssssssss,ddd,dddd,ddd
216,ddsddd,ssssssssssssssss,dd,ddd,dd
217,ddsddd,sssssssss,ddd,ddd,ddd
218,ddsddd,ssssssssssssssssssssssssssSsssssssssssssss,s,s,s
219,ddsddd,ssssssssssssssssssssssssssss,dd,dd,dd
220,ddsddd,ssssssssSsssssss,dd,ddd,dd
221,ddsddd,ssssssssssssss,dd,dd,s
222,ddsddd,ssssssssssssss,ddd,ddd,dd
223,ddsddd,sssssssssss,ddd,ddd,dd
224,ddsddd,sssssssssssssssssssssssssssssssSssssssssssss,dd,ddd,dd
225,ddsddd,sssssssssssss,ddd,dddd,ddd
226,ddsddd,sssssssss,dd,dd,d
227,ddsddd,sssssssssss,ddd,ddd,dd
228,ddsddd,ssssssssssssss,ddd,ddd,ddd
229,ddsddd,sssssssssssssssssssssss,dd,ddd,dd
230,ddsddd,ssssssssssssssssssssssssssssss,ddd,ddd,ddd
231,ddsddd,ssssssssssssssssssssssssssssssssssssssssss,dd,dd,s
232,ddsddd,ssssssssssSsssssssssssssssssSssssss,d,d,s
233,ddsddd,ssssssssssssssssssssssss,dd,dd,s
234,ddsddd,ssssssssssssssssssssssssssssssssSsssssssssss,dd,dd,s
235,ddsddd,sssssssssssssssssssssssssssssssssssssssssss,dd,dd,s
236,ddsddd,ssssssssssssssssssssssssssss,dd,dd,s
237,ddsddd,ssssssssssssssssssss,s,s,s
238,ddsddd,ssssSssssssssssssssssssssss,dd,dd,d
239,ddsddd,ssssssssSssssssssssssssssssss,s,s,s
240,ddsddd,ssssssssssssssss,ddd,ddd,dd
241,ddsddd,ssssssssssssssss,ddd,ddd,ddd
242,ddsddd,ssssssssssssssssssssss,ddd,ddd,dd
243,ddsddd,sssssssssssssssssssssss,dd,dd,dd
244,ddsddd,sssssssssssSsssssssssss,ddd,ddd,ddd
245,ddsddd,sssssssssssssSsssssssss,ddd,ddd,ddd
246,ddsddd,ssdddssssssssSssssssss,ddd,ddd,dd
247,ddsddd,sssssssss,dd,ddd,dd
248,ddsddd,ssssssssssssss,ddd,ddd,dd
249,ddsddd,ssssssss,ddd,ddd,dd
250,ddsddd,sssssssssssss,ddd,ddd,ddd
251,ddsddd,ssssssSssssssss,ddd,ddd,ddd
252,ddsddd,sssssssssssss,s,s,s
253,ddsddd,sssssssssssssssssssssss,ddd,ddd,ddd
254,ddsddd,sssSsssssssssssssssSssssS,dd,dd,dd
255,ddsddd,ssssssssssssssssssssss,dd,ddd,dd
256,ddsddd,ssssssssssssssssssssssssssssssss,d,d,s
257,ddsddd,ssssssssssssssssssssssssssssssssssssssssssss,dd,dd,dd
