id,DBN,SchoolName,AP Test Takers ,Total Exams Taken,Number of Exams with scores 3 4 or 5
92,ddsddd,sssssssss sssssssssss ssssss,dd,dd,s
93,ddsddd,sssssss sss ssssssss sss ssssssssss,dd,dd,dd
94,ddsddd,sssss ssss ssssss ss ssssssss,dd,dd,d
95,ddsddd,s. sssss ss sss sssss & ssss.,dd,dd,s
96,ddsddd,"sssss sss sss sss, ssss, ssss",dd,dd,dd
97,ddsddd,sssssssss ssssssss sssssss sss,dd,dd,s
98,ddsddd,sssss ssssssssss sssssss ss,dd,dd,d
99,ddsddd,ss/ss ddd s s sssss sss/ssssss,ddd,ddd,ddd
100,ddsddd,sssss sssssssssss sss ssssssssss sssssss,ddd,ddd,dd
101,ddsddd,sssssss ssss ssssssssss sssssss ssssss,dd,dd,s
102,ddsddd,"sss sssss sssss ssssss sss ssssssss, sssssss, sss",dd,dd,s
103,ddsddd,ssss sssss sssssss sss sss ssssss,dd,dd,dd
104,ddsddd,sssssssssss sssssssssssss ssss ssssss,dd,dd,s
105,ddsddd,sssss ssssss ss sss sss sssssss,dd,dd,s
106,ddsddd,sssssssssssss ssssss sss sssssss ssss,dd,dd,dd
107,ddsddd,ss/ss ddd ssss & sssssss ssss,dd,dd,dd
108,ddsddd,ss sss ssssssss & sssssssssss,dd,dd,dd
109,ddsddd,sssssss sssssssssss ssss ssss,dd,dd,dd
110,ddsddd,sssssss ss sss sss ssss,s,s,s
111,ddsddd,sssssss ssssss ssss sss & ssss,dd,dd,dd
112,ddsddd,sssss ss ss sss & ssss sssssss,dd,dd,d
113,ddsddd,ssssss sssssss ss,ddd,ddd,ddd
114,ddsddd,"sssss ssss sssss ssss ssssss ss sssss, sss",dd,dd,d
115,ddsddd,sssss ss ss sssssss,dddd,dddd,dddd
116,ddsddd,ssss s sssssss ss,dd,dd,dd
117,ddsddd,ssssss ssss ss sss sss sssssss,dd,ddd,dd
118,ddsddd,sssss sssssss ssss ssssss,dd,dd,s
119,ddsddd,sssssssss ssss ssssss,s,s,s
120,ddsddd,ssss ssssss ss ssssssss sssssss ss ssssss sssssss,ddd,ddd,ddd
121,ddsddd,sssss ssssss ssssssss ssss ssssss,s,s,s
122,ddsddd,sssss ssss ssssss sss sssssss sss sssssssssssss ss,dd,dd,s
123,ddsddd,sssssss sss sssssssssss sss ssssssssssssssss: s ss,dd,dd,s
124,ddsddd,ssss ssssss ss sssssssss sss ssssssssss,s,s,s
125,ddsddd,ssssssssss sssssssss sss ssss sss sssssss,dd,ddd,dd
126,ddsddd,sssss ssssssssss sssssss,dd,dd,dd
127,ddsddd,sssssssssss ssssssss ss,dd,dd,d
128,ddsddd,sssss ss sss sss ssssss ssss,dd,dd,d
129,ddsddd,sss sssss ssss ssssss,dd,dd,s
130,ddsddd,ssssss sssssssssss sssssss,dd,dd,dd
131,ddsddd,"ssssssssssss ssss ssssss, sss",dd,dd,s
132,ddsddd,sssss sssss,s,s,s
133,ddsddd,ssss sssss sssssss sss sss ssssss,dd,dd,s
134,ddsddd,sssss sss sssssssss sssssss,d,d,s
135,ddsddd,ssssss sss sssss sssssss ss,s,s,s
136,ddsddd,sssss sssssss,dd,dd,s
137,ddsddd,ssssss sssssss - ssssssss/sss,d,d,s
138,ddsddd,ss sssss s ssssssss sssssssss ssssss ss sss ssss,dd,dd,s
139,ddsddd,"ssssssss sssssssss ssss ssssss ss sssssssssssss, s",dd,dd,s
140,ddsddd,sssssss ssssss ssssss,dd,dd,s
141,ddsddd,ssssssss sssssssss ss,dddd,dddd,dddd
142,ddsddd,"sssss ssssssss ssssss sss sss sss sssssss, sss",dd,dd,dd
143,ddsddd,sssss sssssssss ssss ssssss,dd,dd,s
144,ddsddd,sssssss sssssss s.s.,dd,dd,s
145,ddsddd,sssssss sssssss ssss ssssss,dd,dd,dd
146,ddsddd,ssssss ssssssssssss,dd,dd,s
147,ddsddd,ssssssss ssssssss sssssss,ddd,ddd,dd
148,ddsddd,sss ddd ssss sssss ssssss,dd,dd,dd
149,ddsddd,sssssssssss sssssss,dd,dd,s
150,ddsddd,ssssssss ssss ssssss,dd,dd,s
151,ddsddd,ssss ssssss ss sssss sssssss,dd,dd,s
152,ddsddd,ss ss ssssssssss sss ssss,dd,ddd,dd
153,ddsddd,ssssssss sssssssssss ssss ssssss,dd,dd,d
154,ddsddd,ssssssssssss ssss ssssss sss ssssssssssss sss ssss,dd,dd,s
155,ddsddd,ssssssssssss sssssssssss ssssss,dd,dd,s
156,ddsddd,ss ssssss sssssss,s,s,s
157,ddsddd,sssssssss ssssss sss ssssssssss,dd,dd,s
158,ddsddd,ssssss sss sssssssss.sssssss,dd,dd,s
159,ddsddd,ssssss ssss sss ss ssss ssssss,dd,dd,s
160,ddsddd,ssssssssssss ssss. sssssss,dd,dd,s
161,ddsddd,ssssssss s.s. sss sss ssss,s,s,s
162,ddsddd,ssss sss sssss ss,dd,dd,s
163,ddsddd,sssss ssss ssssss sss ssssss sssssss,dd,dd,s
164,ddsddd,sssssss sss sssssss sssssssssss sss ssssss sssssss,dd,dd,d
165,ddsddd,"ssss ssssss sss ssssss sssssssssss, sss",dd,dd,s
166,ddsddd,ssss ssssss sss sssss sss sssssssss sssssssssss ss,dd,dd,s
167,ddsddd,ssss ssssss sss ssssss sssssss: ssssss  ss sssssss,ddd,ddd,dd
168,ddsddd,ssssssss sssssss ss sssssss sss sss  sssssssssss,dd,dd,s
169,ddsddd,ssssssss ssssss sss sssss & sssssss,dd,dd,d
170,ddsddd,ssssss ssss ss @ ssssss sssss,ddd,ddd,dd
171,ddsddd,sssss ssssss sss,ddd,ddd,dd
172,ddsddd,ssss sssssss ss,dd,dd,s
173,ddsddd,ssssss s. ssssss ss,s,s,s
174,ddsddd,ssssssss ss,dd,dd,s
175,ddsddd,ssss sss ssss ssssss sssssss,s,s,s
176,ddsddd,ssssssss s ssss ssss ssssss,dd,dd,s
177,ddsddd,ssss ssssss sss sssss ssssss,dd,dd,s
178,ddsddd,ssssssssss ssss sss ssssssssss ssss ssssss,s,s,s
179,ddsddd,sssss sssssss sss sssss sssssssss ssssss ssss ssss,dd,dd,s
180,ddsddd,sssssssssssss ssss ssssss,dd,dd,dd
181,ddsddd,sss-sssssss ssss ss,ddd,ddd,dd
182,ddsddd,sssssss sssss ssssssssss sssssssssss ssssss,dd,dd,dd
183,ddsddd,ss s sssssss sss,dd,dd,s
184,ddsddd,sss sssssss ss,ddd,ddd,dd
185,ddsddd,ss ss ssssssssssssssssss,ddd,ddd,ddd
186,ddsddd,ssss ssssssss ss,ddd,ddd,ddd
187,ddsddd,s.s. sssssssss ss,ddd,ddd,ddd
188,ddsddd,ssssss ssssss ssss ssssss sss sssssss sssssss,dd,dd,s
189,ddsddd,ssss ssssss ss ssssss ssssssssss,dd,dd,s
190,ddsddd,sssssssss ss,s,s,s
191,ddsddd,sssssss sssssss ss,ddd,ddd,dd
192,ddsddd,ssssss s ssssss ss,ddd,ddd,ddd
193,ddsddd,ssss sssss s.s.,ddd,ddd,ddd
194,ddsddd,ssssssss ssssss ssssss,dd,dd,dd
195,ddsddd,sssssss ss,ddd,dddd,ddd
196,ddsddd,sssss sssssss ss,ddd,ddd,ddd
197,ddsddd,ssssssssss sss ss,dd,dd,dd
198,ddsddd,ssss sssssssss ss ssssssss,ddd,ddd,ddd
199,ddsddd,ssssssss ssssssssss: s sssssss sssss ssssss,dd,dd,s
200,ddsddd,sssssssss ssssssss sssssss sss ssss ssssss,dd,dd,s
201,ddsddd,ssssssss sssssssssss ssssss,dd,dd,s
202,ddsddd,sssssss ss sssssss sss  ssssssssss,dd,ddd,dd
203,ddsddd,ssss ssssss ss sssssss sssssssssssss,dd,dd,s
204,ddsddd,sssssss ss,ddd,ddd,ddd
205,ddsddd,ssssss sssssssss ss,ddd,ddd,ddd
206,ddsddd,ssss ssssss sss ssss & ssssssss,ddd,ddd,dd
207,ddsddd,ssssss sss,dd,dd,dd
208,ddsddd,ssssssss ssssss & sssssssss s.s.,ddd,ddd,dd
209,ddsddd,sssss ssssssssss sssssssssss: s sssssss sssss ssss,dd,dd,dd
210,ddsddd,ssss sssss ss,ddd,ddd,ddd
211,ddsddd,ssssssss ss,ddd,ddd,ddd
212,ddsddd,ssssssss ssssss ss,ddd,ddd,ddd
213,ddsddd,s s sssssss sssssssssssss s s,dd,ddd,dd
214,ddsddd,ssssssss s. sssssss,ddd,dddd,ddd
215,ddsddd,sssssss sssss ss,ddd,dddd,ddd
216,ddsddd,ssssss sss sssss ss,dd,ddd,dd
217,ddsddd,sssssss ss,ddd,ddd,ddd
218,ddsddd,"ssssss ssss ssssss ss ssssssss, sssssss ssss sss s",s,s,s
219,ddsddd,sssssss ssss ssssss sss ssssssss,dd,dd,dd
220,ddsddd,ssssssss' sssssss,dd,ddd,dd
221,ddsddd,ssssss ssssss ss,dd,dd,s
222,ddsddd,ssssssss ssss ss,ddd,ddd,dd
223,ddsddd,ssss sssss ss,ddd,ddd,dd
224,ddsddd,"ssss ssssss sss ssssssssssss ssssss, sssssssssss s",dd,ddd,dd
225,ddsddd,ssssss sssss ss,ddd,dddd,ddd
226,ddsddd,sssssss ss,dd,dd,d
227,ddsddd,sssssssss ss,ddd,ddd,dd
228,ddsddd,ssss s ssssss sss,ddd,ddd,ddd
229,ddsddd,sssssss ss ssssss ssssssss,dd,ddd,dd
230,ddsddd,ssssss ss sss sssssss ssss ssssssss,ddd,ddd,ddd
231,ddsddd,ssss ssssss sss sss sssssssssss sss ssssss ssssss,dd,dd,s
232,ddsddd,"sssss  sssss's ssssssssss ssssss, ssssss",d,d,s
233,ddsddd,ssssss sssssssssss sssssss,dd,dd,s
234,ddsddd,ssssssss sssssss sssssssssss ssssss: s sssssss sss,dd,dd,s
235,ddsddd,ssssss ssssssssss ssssss ssss ssssss sss sss sssss,dd,dd,s
236,ddsddd,sssssssssss sssssss sss sssssss,dd,dd,s
237,ddsddd,sssssssssss sssssss ss,s,s,s
238,ddsddd,ssss/sssssss ssssssss ssss sss,dd,dd,d
239,ddsddd,ssssssss/ssssssss ssssssssssss,s,s,s
240,ddsddd,ss ssssss ssssss ss,ddd,ddd,dd
241,ddsddd,ssss ssssss ssss ss,ddd,ddd,ddd
242,ddsddd,sssss sssssss ssss ssssss,ddd,ddd,dd
243,ddsddd,sssssssssss ssssssssss ss,dd,dd,dd
244,ddsddd,sssssssss ss:ssss ssss sss,ddd,ddd,ddd
245,ddsddd,sssssss ss ssss. sssssss ss,ddd,ddd,ddd
246,ddsddd,ss ddd sssssss s. ssssssss,ddd,ddd,dd
247,ddsddd,sss ssss ss,dd,ddd,dd
248,ddsddd,ssss ssssssss ss,ddd,ddd,dd
249,ddsddd,ssssss ss,ddd,ddd,dd
250,ddsddd,sssssssssss ss,ddd,ddd,ddd
251,ddsddd,sssss s. ssssss ss,ddd,ddd,ddd
252,ddsddd,sssss sssss sss,s,s,s
253,ddsddd,ssssss ssssss sssssssss ss,ddd,ddd,ddd
254,ddsddd,sss-ss sss sss sssssss (ssss),dd,dd,dd
255,ddsddd,sssssss ss sssss ssssssss,dd,ddd,dd
256,ddsddd,sss ssss ssssssssss sssssssss ssssss,d,d,s
257,ddsddd,ssssssss sssssss ssss ssssss sss ssssssss ssssssss,dd,dd,dd
